Date,Close
1981-02-23,24.62
1981-05-06,27.38
1981-05-18,28.0
1981-09-25,14.25
1982-07-08,11.0
1983-01-03,28.5
1983-04-06,40.0
1983-10-03,23.13
1984-07-27,27.13
1984-08-17,27.5
1984-08-24,28.12
1985-05-07,20.0
1985-09-03,14.75
1985-12-06,19.75
1986-03-12,24.75
1986-04-09,27.13
1986-04-17,29.0
1986-09-17,34.25
1986-11-26,40.5
1987-02-25,69.13
1987-04-15,71.0
1988-02-23,42.75
1988-03-07,46.88
1988-03-23,42.5
1988-12-12,38.5
1988-12-19,40.75
1989-04-17,39.25
1989-11-13,46.5
1990-11-23,36.38
1991-03-22,63.25
1991-05-17,47.0
1991-06-03,49.25
1991-06-18,42.12
1992-06-25,45.62
1992-10-12,44.0
1993-07-06,37.75
1993-09-15,24.5
1993-09-30,23.37
1993-11-09,30.12
1994-01-24,35.0
1994-03-15,37.62
1994-06-27,26.25
1994-07-08,27.06
1994-12-21,38.38
1995-07-06,47.0
1995-10-16,36.13
1995-11-17,40.13
1995-12-12,38.0
1996-01-31,27.63
1996-02-05,29.25
1996-07-15,17.19
1996-09-20,22.87
1996-12-23,23.25
1997-03-17,16.5
1997-05-09,17.06
1997-08-06,26.31
1997-09-30,21.69
1998-02-09,19.19
1998-03-12,27.0
1998-05-07,30.19
1998-05-12,30.12
1999-07-09,55.63
1999-12-08,110.06
2000-01-14,100.44
2000-06-27,51.75
2000-07-05,51.62
2000-07-19,52.69
2000-08-07,47.94
2000-08-28,58.06
2000-09-26,51.44
2001-03-02,19.25
2001-12-10,22.54
2002-01-25,23.25
2002-03-07,24.38
2002-08-16,15.81
2002-10-03,14.3
2003-11-18,20.41
2004-02-26,23.04
2004-03-08,26.0
2004-09-22,36.92
2005-06-24,37.76
2005-12-07,73.95
2005-12-22,74.02
2006-06-22,59.58
2006-11-28,91.81
2007-08-13,127.79
2007-12-04,179.81
2007-12-31,198.08
2008-05-09,183.45
2008-06-27,170.09
2009-08-03,166.43
2010-04-01,235.97
2010-12-10,320.56
2011-04-28,346.75
2011-12-02,389.7
2012-05-16,546.08
2012-12-04,575.85
2013-07-05,417.42
2013-11-07,512.49
2014-02-25,522.06